Relatório de vias;;;;;;;;;;;;;;;
2019 - 20201 - 2021;;;;;;;;;;;;;;;
LATITUDE;LONGITUDE;DATA DA MONITORAÇÃO;SENTIDO GEOGRÁFICO;UF;Município;VIA MONITORADA POR CAMERAS;POSSUI COMERCIO AMBILANTE;ZONA;VITIMA FATAL;MEDIA DE VEICULOS;PASSAGEM DE VEICULOS PESADOS;POLICIAMENTO RODOVIARIO;OCORRENCIAS DIARIAS;;
-21,61546003;-41,31520003;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;68;0;3;1;;
-21,6155791;-41,31518863;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;28;1;3;11;;
-21,61607782;-41,3151665;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;46;0;1;27;;
-21,61615543;-41,31511386;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;228;1;1;61;;
-21,61647554;-41,31526642;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;227;0;2;28;;
-21,61679191;-41,31503575;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;168;1;3;47;;
-21,61691347;-41,31501194;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;72;0;1;17;;
-21,61734798;-41,31492175;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;181;1;2;37;;
-21,6179056;-41,31490868;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;108;0;3;19;;
-21,61976623;-41,31485367;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;238;0;3;59;;
-21,61992193;-41,31484363;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;165;1;1;53;;
-21,62035206;-41,31448757;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;95;0;2;39;;
-21,62018363;-41,31474217;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;144;1;3;15;;
-21,6206132;-41,314497;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;228;1;3;31;;
-21,6209068;-41,3144736;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;151;1;3;54;;
-21,6211297;-41,3144607;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;230;0;3;26;;
-21,6212549;-41,3144275;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;194;1;2;16;;
-21,62239734;-41,31430786;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;43;0;2;24;;
-21,62071455;-41,31473098;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;35;0;3;62;;
-21,62614996;-41,31419152;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;195;0;1;12;;
-21,62609105;-41,31418817;10/05/2019;Sul;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;250;0;1;23;;
-21,62706223;-41,31357361;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;41;0;2;67;;
-21,62758927;-41,31361317;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;238;0;3;16;;
-21,62775664;-41,31358534;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;145;1;3;61;;
-21,62960515;-41,31327923;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;118;0;1;16;;
-21,6324984;-41,3128922;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;162;1;2;46;;
-21,6326208;-41,3128871;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;57;0;3;46;;
-21,633299;-41,31276593;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;191;0;2;9;;
-21,63357263;-41,31275184;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;55;0;2;2;;
-21,63454002;-41,31261371;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;188;1;1;46;;
-21,63440383;-41,3126469;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;103;1;1;43;;
-21,63795263;-41,31212153;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;76;1;3;63;;
-21,63884332;-41,31201088;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;105;0;1;8;;
-21,63928929;-41,31207693;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;3;Urbana;Não fatal;189;1;2;51;;
-21,63983841;-41,31187476;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;204;1;2;1;;
-21,63997211;-41,31241858;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;106;0;2;59;;
-21,64002073;-41,31241322;10/05/2019;Norte/Sul;RJ;Campos dos Goytacazes;Não;1;Urbana;Não fatal;86;0;3;18;;
-21,64039595;-41,31192874;10/05/2019;Norte;RJ;Campos dos Goytacazes;Não;2;Urbana;Não fatal;95;1;1;28;;
