codigo_ocorrencia4,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,,,,,,,
79423,A-010/CENIPA/2020 - 02,2021-08-07,2021-07-27,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79397,A-074/CENIPA/2020 - 01,2021-12-02,2021-02-27,2021-06-28,Atuar junto à Aero Agrícola Cambará Ltda.,,,,,,,,,,
79397,A-074/CENIPA/2020 - 02,2021-12-02,2021-02-27,2021-06-28,Atuar junto à Aero Agrícola Cambará Ltda.,,,,,,,,,,
79397,A-074/CENIPA/2020 - 03,2021-12-02,2021-02-27,2021-03-03,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79365,A-069/CENIPA/2020 - 01,2021-12-30,2022-03-01,2022-02-15,Atuar junto à MANAV - Manutenção de Aeronaves Ltda. (Certificado de Organização de Manutenção 7304-05/ANAC),,,,,,,,,,
79365,A-069/CENIPA/2020 - 02,2021-12-30,2022-03-01,2022-02-15,Analisar a possibilidade de publicar orientações mais claras sobre os itens a serem avaliados ou procedimentos a serem observados na inspeção para avaliação da condição segura de voo da aeronave,,,,,,,,,,
79359,A-068/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79340,A-067/CENIPA/2020 - 01,2022-12-04,2022-04-25,2022-06-23,Divulgar os ensinamentos colhidos na presente investigação ao Departamento de Polícia Federal (DPF),,,,,,,,,,
79329,IG-062/CENIPA/2020 - 01,2021-08-07,2021-07-22,2022-04-28,Atuar junto à Fênix Recuperação e Manutenção de Aeronaves Ltda.,,,,,,,,,,
79329,IG-062/CENIPA/2020 - 02,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79323,A-060/CENIPA/2020 - 01,2021-08-07,2021-07-27,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79323,A-060/CENIPA/2020 - 02,2021-08-07,2021-07-27,2021-12-29,Atuar junto ao Aeroclube de Blumenau,,,,,,,,,,
79317,A-058/CENIPA/2020 - 01,2021-09-17,2021-05-10,2021-12-20,Atuar junto ao operador do aeródromo de Flores (SWFN) no sentido de que ocorra o aprimoramento dos sistemas de controle e fiscalização,,,,,,,,,,
79317,A-058/CENIPA/2020 - 02,2021-09-17,2021-05-10,2021-04-02,Atuar em conjunto com as demais entidades brasileiras da aviação civil,,,,,,,,,,
79317,A-058/CENIPA/2020 - 04,2021-09-17,2021-05-10,2021-10-14,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79317,A-058/CENIPA/2020 – 03,2021-09-17,2021-05-10,2022-03-21,Atuar junto à Empresa A.R.T. Táxi Aéreo no sentido de garantir que aquele operador não autorize que suas instalações sejam utilizadas para o transporte aéreo de passageiros por aeronaves registradas em categoria diversa da autorizada para tal serviço.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
79301,A-053/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79259,A-045/CENIPA/2020 - 01,2021-08-07,2021-04-08,2022-07-19,Atuar junto à empresa Avante Aviação Agrícola Ltda.,,,,,,,,,,
79233,A-037/CENIPA/2020 - 01,2021-07-21,2021-08-16,NULL,Atuar junto ao Aeroclube de Bauru,,,,,,,,,,
79231,A-035/CENIPA/2020 - 01,2021-08-07,2021-07-27,2021-02-12,Atuar junto ao proprietário do Aeródromo Fazenda Jaqueline (SNIZ),,,,,,,,,,
79231,A-035/CENIPA/2020 - 02,2021-08-07,2021-07-27,2021-06-09,Atuar junto à Agropecuária Massutti Ltda.,,,,,,,,,,
79228,A-038/CENIPA/2020 - 01,2021-12-30,2022-04-01,2022-08-18,Atuar junto à Redex Aeroagricola Ltda,,,,,,,,,,
79223,A-028/CENIPA/2020 - 01,2022-11-03,2022-03-15,NULL,Atuar junto à Visual Propaganda Aérea Ltda. – EPP,,,,,,,,,,
79223,A-028/CENIPA/2020 - 02,2022-11-03,2022-03-15,NULL,Atuar junto à Visual Propaganda Aérea Ltda. – EPP,,,,,,,,,,
79223,A-028/CENIPA/2020 - 03,2022-11-03,2022-03-15,NULL,Divulgar as boas práticas e as lições aprendidas com a presente investigação a todos os operadores de voos de aeropublicidade com reboque de faixas,,,,,,,,,,
79213,A-034/CENIPA/2020 - 01,2021-08-07,2021-07-27,2021-12-29,Divulgar os ensinamentos colhidos na presente investigação aos Centros de Instrução de Aviação Civil (CIAC),,,,,,,,,,
79213,A-034/CENIPA/2020 - 02,2021-08-07,2021-07-27,2021-12-29,Divulgar o conteúdo disponível no Manual do Instrutor de Voo (MIV) do Comitê Nacional de Prevenção de Acidentes Aeronáuticos (CNPAA) aos Centros de Instrução de Aviação Civil (CIAC),,,,,,,,,,
79213,A-034/CENIPA/2020 - 03,2021-08-07,2021-07-27,2021-12-29,Atuar junto ao Aeroclube de Rio Claro,,,,,,,,,,
79213,A-034/CENIPA/2020 - 04,2021-08-07,2021-07-27,2021-12-29,Atuar junto ao Aeroclube de Rio Claro,,,,,,,,,,
79213,A-034/CENIPA/2020 - 05,2021-08-07,2021-07-27,2021-12-29,Atuar junto ao Aeroclube de Rio Claro,,,,,,,,,,
79210,A-030/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-30,Atuar junto à empresa CEAL Aviação Agrícola Ltda.,,,,,,,,,,
79206,A-023/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79206,A-023/CENIPA/2020 - 02,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79199,A-029/CENIPA/2020 - 01,2021-07-21,2021-08-18,2021-09-15,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79198,A-024/CENIPA/2020 - 01,2021-12-02,2021-02-27,2021-03-31,Atuar junto à empresa Fenner Aviação Agrícola Ltda.,,,,,,,,,,
79198,A-024/CENIPA/2020 - 02,2021-12-02,2021-02-27,2021-03-03,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79195,A-025/CENIPA/2020 - 01,2021-12-02,2021-02-27,2021-03-03,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79179,A-006/CENIPA/2020 - 01,2021-08-07,2021-07-27,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79131,A-021/CENIPA/2020 - 01,2021-08-07,2021-07-22,2022-03-05,Realizar gestões junto à LL Aviação Agrícola Ltda.,,,,,,,,,,
79131,A-021/CENIPA/2020 - 02,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79129,A-019/CENIPA/2020 - 01,2021-08-07,2021-04-08,2022-03-05,Atuar junto à Aeroagrícola do Vale,,,,,,,,,,
79129,A-019/CENIPA/2020 - 02,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79128,A-018/CENIPA/2020 - 01,2020-12-29,2021-01-22,2021-04-02,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79125,IG-008/CENIPA/2020 - 01,2021-08-07,2021-04-08,2022-07-19,Analisar,,,,,,,,,,
79125,IG-008/CENIPA/2020 - 02,2021-08-07,2021-04-08,2022-07-19,Analisar,,,,,,,,,,
79124,A-010/CENIPA/2020 - 01,2021-12-02,2021-02-27,2021-03-03,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79121,A-009/CENIPA/2020 - 01,2022-09-02,2022-02-16,2022-02-21,Atuar junto ao CIOPAER,,,,,,,,,,
79121,A-009/CENIPA/2020 - 02,2022-09-02,2022-02-16,2022-10-05,Atuar junto ao CIOPAER,,,,,,,,,,
79121,A-009/CENIPA/2020 - 03,2022-09-02,2022-02-15,NULL,Atuar junto ao CIOPAER,,,,,,,,,,
79121,A-009/CENIPA/2020 - 04,2022-09-02,2022-02-16,2022-02-21,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79120,A-005/CENIPA/2020 - 01,2021-07-21,2021-08-18,2022-04-14,Atuar junto à Avante Aviação Agrícola Ltda.,,,,,,,,,,
79115,A-020/CENIPA/2020 - 01,2022-05-08,2022-11-08,NULL,Atuar junto à empresa Xingu Aero Agrícola Ltda.,,,,,,,,,,
79111,A-015/CENIPA/2020 - 01,2021-08-07,2021-04-08,2022-08-30,Atuar junto à São Bento Aviação Agrícola LTDA.,,,,,,,,,,
79111,A-015/CENIPA/2020 - 02,2021-08-07,2021-07-26,NULL,Atuar junto à empresa Sanagri Manutenção de Aeronaves LTDA.,,,,,,,,,,
79111,A-015/CENIPA/2020 - 03,2021-08-07,2021-07-26,NULL,Atuar junto à empresa São Bento Aviação Agrícola LTDA.,,,,,,,,,,
79111,A-015/CENIPA/2020 - 04,2021-08-07,2021-07-26,NULL,Analisar a pertinência de revisar a IS nº 137.201-001,,,,,,,,,,
79109,A-004/CENIPA/2020 - 01,2022-08-07,2022-07-19,NULL,Atuar junto à Savana Aeroagrícola Ltda.,,,,,,,,,,
79097,A-012/CENIPA/2020 - 01,2021-08-07,2021-04-08,2021-08-27,Divulgar os ensinamentos da presente investigação,,,,,,,,,,
79064,IG-062/CENIPA/2019 - 01,2021-09-17,2021-09-29,2021-10-13,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79060,A-084/CENIPA/2019 - 01,2022-11-03,2022-03-15,2022-03-18,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79049,A-002/CENIPA/2020 - 01,2021-09-17,2021-05-10,2022-07-06,Atuar junto à Aeromaj Aviação Agrícola Ltda.,,,,,,,,,,
79043,A-001/CENIPA/2020 - 01,2021-12-02,2021-12-04,2021-04-22,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79042,A-157/CENIPA/2019 - 01,2021-08-07,2021-07-26,NULL,Alertar pilotos,,,,,,,,,,
79042,A-157/CENIPA/2019 - 02,2021-08-07,2021-04-08,2021-08-27,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79035,A-156/CENIPA/2019 - 01,2021-08-19,2021-08-26,2021-01-09,Atuar junto à Aereo Agrícola Fornagieri Ltda.,,,,,,,,,,
79035,A-156/CENIPA/2019 - 02,2021-08-19,2021-08-26,2021-09-16,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
79034,A-155/CENIPA/2019 - 01,2021-08-19,2021-08-26,2021-09-16,Divulgar o conteúdo deste relatório como forma de conscientizar os operadores aeroagrícolas sobre a importância da padronização de procedimentos operacionais que representem barreiras ao erro humano,,,,,,,,,,
78839,A-152/CENIPA/2019 - 01,2021-09-17,2021-09-23,NULL,Reavaliar os processos de fiscalização aeroportuária de aeródromos delegados por meio de Convênios,,,,,,,,,,
78836,A-148/CENIPA/2019 - 01,2021-08-07,2021-04-08,2022-09-03,Atuar junto ao operador,,,,,,,,,,
78832,A-144/CENIPA/2019 - 01,2021-08-19,2021-08-26,2022-07-06,Atuar junto ao operador da aeronave,,,,,,,,,,
78832,A-144/CENIPA/2019 - 02,2021-08-19,2021-08-26,2022-03-02,Atuar junto às clínicas médicas credenciadas para a realização de inspeções de saúde dos aeronavegantes a fim de que,,,,,,,,,,
78832,A-144/CENIPA/2019 - 03,2021-08-19,2021-08-26,2021-09-15,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78832,A-144/CENIPA/2019 - 04,2021-08-19,2021-08-26,2021-09-15,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78799,IG-063/CENIPA/2019 - 01,2021-03-29,2021-04-26,2021-08-27,Atuar junto aos controladores do APP-ES,,,,,,,,,,
78799,IG-063/CENIPA/2019 - 02,2021-03-29,2021-04-26,2021-08-27,Atuar junto aos controladores do APP-ES,,,,,,,,,,
78793,A-139/CENIPA/2019- 01,2021-08-07,2021-07-27,2021-12-28,Atuar junto ao Aeroclube de Pará de Minas,,,,,,,,,,
78785,A-132/CENIPA/2019 - 01,2022-09-21,2022-09-27,NULL,Atuar junto à empresa Two Táxi Aéreo Ltda.,,,,,,,,,,
78780,A-127/CENIPA/2019 - 01,2022-08-07,2022-07-25,NULL,Atuar junto ao Operador do Aeródromo de Atibaia (SDTB) de forma que as balizas de borda de pista sejam adequadas aos requisitos estabelecidos no RBAC 154 e às orientações contidas no Manual de Frangibilidade da ANAC,,,,,,,,,,
78780,A-127/CENIPA/2019 - 02,2022-08-07,2022-07-25,NULL,Avaliar a necessidade de atuar junto à TRIKE ICAROS IND. AER. LTDA,,,,,,,,,,
78780,A-127/CENIPA/2019 - 03,2022-08-07,2022-07-25,NULL,Atuar junto à LOOPING ESCOLA DE AVIAÇÃO LEVE LTDA - ME de modo a garantir que aquele Centro de Instrução de Aviação Civil (CIAC) adeque seus manuais de operação,,,,,,,,,,
78779,A-126/CENIPA/2019 - 01,2021-03-29,2021-04-13,NULL,Atuar junto à empresa Taim Aero Agrícola Ltda.,,,,,,,,,,
78774,A-121/CENIPA/2019 - 01,2021-12-02,2021-02-27,2021-04-29,Atuar junto ao Departamento de Polícia Rodoviária Federal,,,,,,,,,,
78774,A-121/CENIPA/2019 - 02,2021-12-02,2021-02-27,2021-04-29,Atuar junto à Divisão de Operações Aéreas do Departamento de Polícia Rodoviária Federal,,,,,,,,,,
78774,A-121/CENIPA/2019 - 03,2021-12-02,2021-02-27,2021-04-29,Atuar junto ao Departamento de Polícia Rodoviária Federal,,,,,,,,,,
78774,A-121/CENIPA/2019 - 04,2021-12-02,2021-02-27,2021-03-03,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78773,A-120/CENIPA/2019- 01,2021-08-07,2021-07-30,2021-08-12,Verificar a viabilidade de se realizar inspeções de fiscalização no aeródromo Piraquara (SISY),,,,,,,,,,
78773,A-120/CENIPA/2019- 02,2021-08-07,2021-07-30,2021-08-12,Atuar junto ao administrador do aeródromo de Piraquara (SISY),,,,,,,,,,
78773,A-120/CENIPA/2019- 03,2021-08-07,2021-07-30,2021-08-12,Atuar junto ao administrador do aeródromo de Piraquara (SISY),,,,,,,,,,
78771,IG-118/CENIPA/2019 -01,2020-10-29,2020-11-27,2021-07-01,Atuar junto à organização de manutenção Quick Manutenção de Aeronaves Ltda.,,,,,,,,,,
78771,IG-118/CENIPA/2019 -02,2020-10-29,2020-11-25,2020-12-17,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78770,A-117/CENIPA/2019 - 01,2022-05-27,2022-06-20,NULL,Divulgar os ensinamentos colhidos na presente investigação ao Departamento Integrado de Operações Aéreas da Secretaria de Estado da Segurança Pública do Amazonas,,,,,,,,,,
78770,A-117/CENIPA/2019 - 02,2022-05-27,2022-06-20,NULL,Atuar junto ao Departamento Integrado de Operações Aéreas da Secretaria de Estado da Segurança Pública do Amazonas,,,,,,,,,,
78770,A-117/CENIPA/2019 - 03,2022-05-27,2022-06-20,NULL,Analisar o Programa de Treinamento aprovado do Departamento Integrado de Operações Aéreas da Secretaria de Estado da Segurança Pública do Amazonas,,,,,,,,,,
78770,A-117/CENIPA/2019 - 04,2022-05-27,2022-06-20,NULL,Atuar junto às demais Unidades Aéreas Públicas (UAP) operadoras do modelo AS350,,,,,,,,,,
78768,A-115/CENIPA/2019 - 01,2021-08-07,2021-07-30,2021-08-27,Divulgar os ensinamentos colhidos na presente investigação aos pilotos de aeronaves experimentais,,,,,,,,,,
78766,A-113/CENIPA/2019 - 01,2020-12-29,2021-01-22,2021-10-02,NULL,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
78765,A-112/CENIPA/2019 - 01,2022-11-03,2022-03-15,2022-07-28,Atuar junto à oficina Hélices Costa LTDA.,,,,,,,,,,
78765,A-112/CENIPA/2019 - 02,2022-11-03,2022-03-15,NULL,Atuar junto à empresa Parintins Táxi Aéreo,,,,,,,,,,
78765,A-112/CENIPA/2019 - 03,2022-11-03,2022-03-15,2022-06-29,Atuar junto à empresa Parintins Manutenção de Aeronaves Comércio e Serviços,,,,,,,,,,
78765,A-112/CENIPA/2019 - 04,2022-11-03,2022-03-15,NULL,Divulgar os ensinamentos colhidos nesta investigação,,,,,,,,,,
78764,A-111/CENIPA/2019 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar o presente relatório aos operadores do modelo Super Petrel LS,,,,,,,,,,
78759,A-106/CENIPA/2019 - 01,2021-07-21,2021-08-16,NULL,Atuar junto ao Comando de Aviação Operacional (CAOP),,,,,,,,,,
78759,A-106/CENIPA/2019 - 02,2021-07-21,2021-08-16,NULL,Atuar junto ao Comando de Aviação Operacional (CAOP),,,,,,,,,,
78758,A-105/CENIPA/2019 - 01,2021-11-16,2021-12-23,2022-01-26,Divulgar os ensinamentos colhidos na presente investigação ao operador do aeródromo de Ribeirão Preto (SBRP),,,,,,,,,,
78752,A-099/CENIPA/2019 - 01,2021-03-29,2021-04-26,2021-06-05,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78750,A-097/CENIPA/2019- 01,2021-08-07,2021-04-08,2022-01-02,Realizar gestões no Aeroclube de Canela,,,,,,,,,,
78750,A-097/CENIPA/2019- 02,2021-08-07,2021-04-08,2022-01-02,Atuar junto ao Aeroclube de Canela,,,,,,,,,,
78747,A-094/CENIPA/2019 - 01,2022-05-08,2022-11-08,NULL,Atuar junto ao CIAC,,,,,,,,,,
78743,A-092/CENIPA/2019- 01,2021-03-29,2021-04-26,2021-05-05,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78740,A-091/CENIPA/2019 - 01,2019-10-28,2019-01-11,2020-08-19,Atuar junto à MAP Linhas Aéreas LTDA.,,,,,,,,,,
78740,A-091/CENIPA/2019 - 02,2019-10-28,2019-01-11,2020-08-19,Realizar uma inspeção de acompanhamento do treinamento de CRM na MAP Linhas Aéreas LTDA.,,,,,,,,,,
78740,A-091/CENIPA/2019 - 03,2019-10-28,2019-01-11,2020-08-19,Atuar junto à MAP Linhas Aéreas LTDA.,,,,,,,,,,
78740,A-091/CENIPA/2019 - 04,2019-10-28,2019-01-11,2020-12-03,Atuar junto à MAP Linhas Aéreas LTDA.,,,,,,,,,,
78740,A-091/CENIPA/2019 - 05,2019-10-28,2019-01-11,2020-12-03,Atuar junto à MAP Linhas Aéreas LTDA. de forma a assegurar que o Programa de Manutenção da empresa esteja em conformidade com os requisitos estabelecidos pelo fabricante,,,,,,,,,,
78740,A-091/CENIPA/2019 - 06,2019-10-28,2019-01-11,2020-12-03,Atuar junto à MAP Linhas Aéreas LTDA.,,,,,,,,,,
78740,A-091/CENIPA/2019 - 07,2019-10-28,2019-01-11,2020-08-19,Atuar junto à MAP Linhas Aéreas LTDA.,,,,,,,,,,
78738,A-088/CENIPA/2019 - 01,2021-12-30,2022-03-01,2022-10-03,Reforçar a atuação junto à organização de manutenção Parintins Serviços de Transportes e Comércio de Peças para Aviões Ltda (CHE No 0208-01/ANAC),,,,,,,,,,
78737,A-087/CENIPA/2019 - 01,2021-07-21,2021-08-18,2021-09-15,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78735,A-086/CENIPA/2019 - 01,2021-08-07,2021-04-08,2021-08-30,Divulgar os ensinamentos contidos na presente investigação,,,,,,,,,,
78732,A-074/CENIPA/2019 - 01,2022-08-07,2022-07-19,NULL,Atuar junto ao Centro de Instrução de Aviação Civil (CIAC) do Aeroclube de Goiás,,,,,,,,,,
78732,A-074/CENIPA/2019 - 02,2022-08-07,2022-07-19,NULL,Atuar junto ao Centro de Instrução de Aviação Civil (CIAC) do Aeroclube de Goiás,,,,,,,,,,
78732,A-074/CENIPA/2019 - 03,2022-08-07,2022-07-19,NULL,Atuar junto ao Centro de Instrução de Aviação Civil (CIAC) do Aeroclube de Goiás,,,,,,,,,,
78714,A-068/CENIPA/2019 - 01,2021-12-30,2022-03-01,2022-01-04,Atuar junto ao operador do aeródromo de Costa Esmeralda (SDEN),,,,,,,,,,
78714,A-068/CENIPA/2019 - 02,2021-12-30,2022-03-01,2022-03-28,Analisar a pertinência de requerer ao operador do aeródromo de Costa Esmeralda (SDEN),,,,,,,,,,
78714,A-068/CENIPA/2019 - 03,2021-12-30,2022-04-01,NULL,Atuar junto à organização de manutenção JPA Manutenção de Aeronaves Ltda.,,,,,,,,,,
78712,A-080/CENIPA/2019 - 01,2021-07-21,2021-08-18,2021-09-15,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78709,A-081/CENIPA/2019 - 01,2021-12-30,2022-03-01,2022-03-14,Atuar junto à TEMA Tecnologia Manutenção de Aeronaves EIRELI no sentido de que aquela organização demonstre que os processos relacionados a supervisão gerencial das atividades de planejamento,,,,,,,,,,
78695,A-082/CENIPA/2019- 01,2020-10-29,2020-10-30,2021-05-05,Atuar junto ao Aeroclube de Alagoas,,,,,,,,,,
78695,A-082/CENIPA/2019- 02,2020-10-29,2020-10-30,2021-05-05,Certificar-se da adoção de medidas corretivas tomadas no âmbito do Aeroclube de Alagoas,,,,,,,,,,
78695,A-082/CENIPA/2019- 03,2020-10-29,2020-10-30,2021-05-05,Assegurar-se das providências adotadas pelo Aeroclube de Alagoas,,,,,,,,,,
78695,A-082/CENIPA/2019- 04,2020-10-29,2020-10-30,2021-06-30,Divulgar,,,,,,,,,,
78643,A-057/CENIPA/2019 - 01,2020-11-03,2020-03-19,NULL,Atuar junto à Velair Air Escola de Aviação Civil LTDA. (antiga Martins Air Escola de Aviação Civil LTDA.),,,,,,,,,,
78643,A-057/CENIPA/2019 - 02,2020-11-03,2020-03-19,2020-04-24,Atuar junto à Empresa Brasileira de Infraestrutura Aeroportuária (INFRAERO),,,,,,,,,,
78619,A-050/CENIPA/2019 - 01,2021-09-17,2021-09-23,2022-07-19,Atuar junto à empresa Fort Aviação Agrícola Ltda.,,,,,,,,,,
78619,A-050/CENIPA/2019 - 02,2021-09-17,2021-05-10,2021-10-14,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
78612,A-049/CENIPA/2019 - 01,2019-03-09,2019-10-09,2019-09-24,DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO,,,,,,,,,,
78610,A-048/CENIPA/2019 - 01,2021-04-10,2022-09-02,NULL,Estabelecer padrões de qualificação que assegurem a experiência necessária,,,,,,,,,,
78609,A-046/CENIPA/2019 - 01,2019-12-18,2020-01-13,2020-08-19,ASSEGURAR QUE A FRISONFLY OFICINA DE MANUTENçãO AERONáUTICA CUMPRA TODOS OS PROTOCOLOS ESTABELECIDOS PARA A EMISSãO DA FICHA DE PESO E BALANCEAMENTO,,,,,,,,,,
78608,A-045/CENIPA/2019 - 01,2022-05-08,2022-11-08,NULL,Atuar junto ao operador do aeródromo João Silva (SJBY),,,,,,,,,,
