Segment;Country;Product;Discount Band;Units Sold;Manufacturing Price;Sale Price;Gross Sales;Discounts; Sales;COGS;Profit;Date;Month Number;Month Name;Year
Enterprise;United States of America;Paseo;Low;727;10;125;90875;90875;8996625;87240;272625;01/06/2014;6;June;2014
Enterprise;France;Paseo;Low;787;10;125;98375;98375;9739125;94440;295125;01/06/2014;6;June;2014
Enterprise;Mexico;Paseo;Low;1823;10;125;227875;227875;22559625;218760;683625;01/07/2014;7;July;2014
Midmarket;Germany;Paseo;Low;747;10;15;11205;11205;1109295;7470;3,62295E+16;01/09/2014;9;September;2014
Channel Partners;Germany;Paseo;Low;766;10;12;9192;9192;910008;2298;680208;01/10/2013;10;October;2013
Small Business;United States of America;Paseo;Low;2905;10;300;871500;8715;862785;726250;136535;01/11/2014;11;November;2014
Government;France;Paseo;Low;2155;10;350;754250;75425;7467075;560300;1864075;01/12/2014;12;December;2014
Government;France;Velo;Low;3864;120;20;77280;7,728E+16;7,65072E+16;38640;3,78672E+16;01/04/2014;4;April;2014
Government;Mexico;Velo;Low;362;120;7;2534;2534;250866;1810;6,9866E+16;01/05/2014;5;May;2014
Enterprise;Canada;Velo;Low;923;120;125;115375;115375;11422125;110760;346125;01/08/2014;8;August;2014
Enterprise;United States of America;Velo;Low;663;120;125;82875;82875;8204625;79560;248625;01/10/2013;10;October;2013
Government;Canada;Velo;Low;2092;120;7;14644;14644;1449756;10460;4,03756E+16;01/11/2013;11;November;2013
Government;Germany;VTT;Low;263;250;7;1841;1841;182259;1315;5,0759E+16;01/03/2014;3;March;2014
Government;Canada;VTT;Low;9435;250;350;330225;330225;32692275;245310;8161275;01/04/2014;4;April;2014
Enterprise;United States of America;VTT;Low;727;250;125;90875;90875;8996625;87240;272625;01/06/2014;6;June;2014
Enterprise;France;VTT;Low;787;250;125;98375;98375;9739125;94440;295125;01/06/2014;6;June;2014
Small Business;Germany;VTT;Low;986;250;300;295800;2958;292842;246500;46342;01/09/2014;9;September;2014
Small Business;Mexico;VTT;Low;494;250;300;148200;1482;146718;123500;23218;01/10/2013;10;October;2013
Government;Mexico;VTT;Low;1397;250;350;488950;48895;4840605;363220;1208405;01/10/2014;10;October;2014
Enterprise;France;VTT;Low;1744;250;125;218000;2180;215820;209280;6540;01/11/2014;11;November;2014
Channel Partners;United States of America;Amarilla;Low;1989;260;12;23868;23868;2362932;5967;1766232;01/09/2013;9;September;2013
Midmarket;France;Amarilla;Low;321;260;15;4815;4815;4,76685E+16;3210;1,55685E+16;01/11/2013;11;November;2013
Enterprise;Canada;Carretera;Low;7425;3;125;928125;185625;9095625;89100;185625;01/04/2014;4;April;2014
Channel Partners;Canada;Carretera;Low;1295;3;12;15540;3108;152292;3885;113442;01/10/2014;10;October;2014
Small Business;Germany;Carretera;Low;214;3;300;64200;1284;62916;53500;9416;01/10/2013;10;October;2013
Government;France;Carretera;Low;2145;3;7;15015;3003;147147;10725;3,9897E+16;01/11/2013;11;November;2013
Government;Canada;Carretera;Low;2852;3;350;998200;19964;978236;741520;236716;01/12/2014;12;December;2014
Channel Partners;United States of America;Montana;Low;1142;5;12;13704;27408;1342992;3426;1000392;01/06/2014;6;June;2014
Government;United States of America;Montana;Low;1566;5;20;31320;6264;3,06936E+16;15660;1,50336E+16;01/10/2014;10;October;2014
Channel Partners;Mexico;Montana;Low;690;5;12;8280;1656;81144;2070;60444;01/11/2014;11;November;2014
Enterprise;Mexico;Montana;Low;1660;5;125;207500;4150;203350;199200;4150;01/11/2013;11;November;2013
Midmarket;Canada;Paseo;Low;2363;10;15;35445;7089;347361;23630;1,11061E+16;01/02/2014;2;February;2014
Small Business;France;Paseo;Low;918;10;300;275400;5508;269892;229500;40392;01/05/2014;5;May;2014
Small Business;Germany;Paseo;Low;1728;10;300;518400;10368;508032;432000;76032;01/05/2014;5;May;2014
Channel Partners;United States of America;Paseo;Low;1142;10;12;13704;27408;1342992;3426;1000392;01/06/2014;6;June;2014
Enterprise;Mexico;Paseo;Low;662;10;125;82750;1655;81095;79440;1655;01/06/2014;6;June;2014
Channel Partners;Canada;Paseo;Low;1295;10;12;15540;3108;152292;3885;113442;01/10/2014;10;October;2014
Enterprise;Germany;Paseo;Low;809;10;125;101125;20225;991025;97080;20225;01/10/2013;10;October;2013
Enterprise;Mexico;Paseo;Low;2145;10;125;268125;53625;2627625;257400;53625;01/10/2013;10;October;2013
Channel Partners;France;Paseo;Low;1785;10;12;21420;4284;2,09916E+16;5355;1,56366E+16;01/11/2013;11;November;2013
Small Business;Canada;Paseo;Low;1916;10;300;574800;11496;563304;479000;84304;01/12/2014;12;December;2014
Government;Canada;Paseo;Low;2852;10;350;998200;19964;978236;741520;236716;01/12/2014;12;December;2014
Enterprise;Canada;Paseo;Low;2729;10;125;341125;68225;3343025;327480;68225;01/12/2014;12;December;2014
Midmarket;United States of America;Paseo;Low;1925;10;15;28875;5775;282975;19250;90475;01/12/2013;12;December;2013
Government;United States of America;Paseo;Low;2013;10;7;14091;28182;1380918;10065;3,74418E+16;01/12/2013;12;December;2013
Channel Partners;France;Paseo;Low;1055;10;12;12660;2532;124068;3165;9,2418E+16;01/12/2014;12;December;2014
Channel Partners;Mexico;Paseo;Low;1084;10;12;13008;2,6016E+16;1274784;3252;949584;01/12/2014;12;December;2014
Government;United States of America;Velo;Low;1566;120;20;31320;6264;3,06936E+16;15660;1,50336E+16;01/10/2014;10;October;2014
Government;Germany;Velo;Low;2966;120;350;1038100;20762;1017338;771160;246178;01/10/2013;10;October;2013
Government;Germany;Velo;Low;2877;120;350;1006950;20139;986811;748020;238791;01/10/2014;10;October;2014
Enterprise;Germany;Velo;Low;809;120;125;101125;20225;991025;97080;20225;01/10/2013;10;October;2013
Enterprise;Mexico;Velo;Low;2145;120;125;268125;53625;2627625;257400;53625;01/10/2013;10;October;2013
Channel Partners;France;Velo;Low;1055;120;12;12660;2532;124068;3165;9,2418E+16;01/12/2014;12;December;2014
Government;Mexico;Velo;Low;544;120;20;10880;2176;106624;5440;5,2224E+16;01/12/2013;12;December;2013
Channel Partners;Mexico;Velo;Low;1084;120;12;13008;2,6016E+16;1274784;3252;949584;01/12/2014;12;December;2014
Enterprise;Mexico;VTT;Low;662;250;125;82750;1655;81095;79440;1655;01/06/2014;6;June;2014
Small Business;Germany;VTT;Low;214;250;300;64200;1284;62916;53500;9416;01/10/2013;10;October;2013
Government;Germany;VTT;Low;2877;250;350;1006950;20139;986811;748020;238791;01/10/2014;10;October;2014
Enterprise;Canada;VTT;Low;2729;250;125;341125;68225;3343025;327480;68225;01/12/2014;12;December;2014
Government;United States of America;VTT;Low;266;250;350;93100;1862;91238;69160;22078;01/12/2013;12;December;2013
Government;Mexico;VTT;Low;1940;250;350;679000;13580;665420;504400;161020;01/12/2013;12;December;2013
Small Business;Germany;Amarilla;Low;259;260;300;77700;1554;76146;64750;11396;01/03/2014;3;March;2014
Small Business;Mexico;Amarilla;Low;1101;260;300;330300;6606;323694;275250;48444;01/03/2014;3;March;2014
Enterprise;Germany;Amarilla;Low;2276;260;125;284500;5690;278810;273120;5690;01/05/2014;5;May;2014
Government;Germany;Amarilla;Low;2966;260;350;1038100;20762;1017338;771160;246178;01/10/2013;10;October;2013
Government;United States of America;Amarilla;Low;1236;260;20;24720;4944;2,42256E+16;12360;1,18656E+16;01/11/2014;11;November;2014
Government;France;Amarilla;Low;941;260;20;18820;3764;1,84436E+16;9410;9,0336E+16;01/11/2014;11;November;2014
Small Business;Canada;Amarilla;Low;1916;260;300;574800;11496;563304;479000;84304;01/12/2014;12;December;2014
Enterprise;France;Carretera;Low;42435;3;125;5304375;15913125;514524375;509220;5304375;01/04/2014;4;April;2014
Government;Germany;Carretera;Low;2580;3;20;51600;1548;50052;25800;24252;01/04/2014;4;April;2014
Small Business;Germany;Carretera;Low;689;3;300;206700;6201;200499;172250;28249;01/06/2014;6;June;2014
Channel Partners;United States of America;Carretera;Low;1947;3;12;23364;70092;2266308;5841;1,68221E+16;01/09/2014;9;September;2014
Channel Partners;Canada;Carretera;Low;908;3;12;10896;32688;1056912;2724;7,84512E+16;01/12/2013;12;December;2013
Government;Germany;Montana;Low;1958;5;7;13706;41118;1329482;9790;3,50482E+16;01/02/2014;2;February;2014
Channel Partners;France;Montana;Low;1901;5;12;22812;68436;2212764;5703;1642464;01/06/2014;6;June;2014
Government;France;Montana;Low;544;5;7;3808;11424;369376;2720;9,7376E+16;01/09/2014;9;September;2014
Government;Germany;Montana;Low;1797;5;350;628950;188685;6100815;467220;1428615;01/09/2013;9;September;2013
Enterprise;France;Montana;Low;1287;5;125;160875;482625;15604875;154440;160875;01/12/2014;12;December;2014
Enterprise;Germany;Montana;Low;1706;5;125;213250;63975;2068525;204720;21325;01/12/2014;12;December;2014
Small Business;France;Paseo;Low;24345;10;300;730350;219105;7084395;608625;998145;01/01/2014;1;January;2014
Enterprise;Canada;Paseo;Low;1774;10;125;221750;66525;2150975;212880;22175;01/03/2014;3;March;2014
Channel Partners;France;Paseo;Low;1901;10;12;22812;68436;2212764;5703;1642464;01/06/2014;6;June;2014
Small Business;Germany;Paseo;Low;689;10;300;206700;6201;200499;172250;28249;01/06/2014;6;June;2014
Enterprise;Germany;Paseo;Low;1570;10;125;196250;58875;1903625;188400;19625;01/06/2014;6;June;2014
Channel Partners;United States of America;Paseo;Low;13695;10;12;16434;49302;1594098;41085;1183248;01/07/2014;7;July;2014
Enterprise;Canada;Paseo;Low;2009;10;125;251125;753375;24359125;241080;251125;01/10/2014;10;October;2014
Midmarket;Germany;Paseo;Low;1945;10;15;29175;87525;2829975;19450;884975;01/10/2013;10;October;2013
Enterprise;France;Paseo;Low;1287;10;125;160875;482625;15604875;154440;160875;01/12/2014;12;December;2014
Enterprise;Germany;Paseo;Low;1706;10;125;213250;63975;2068525;204720;21325;01/12/2014;12;December;2014
Enterprise;Canada;Velo;Low;2009;120;125;251125;753375;24359125;241080;251125;01/10/2014;10;October;2014
Small Business;United States of America;VTT;Low;2844;250;300;853200;25596;827604;711000;116604;01/02/2014;2;February;2014
Channel Partners;Mexico;VTT;Low;1916;250;12;22992;68976;2,23022E+16;5748;1,65542E+16;01/04/2014;4;April;2014
Enterprise;Germany;VTT;Low;1570;250;125;196250;58875;1903625;188400;19625;01/06/2014;6;June;2014
Small Business;Canada;VTT;Low;1874;250;300;562200;16866;545334;468500;76834;01/08/2014;8;August;2014
Government;Mexico;VTT;Low;1642;250;350;574700;17241;557459;426920;130539;01/08/2014;8;August;2014
Midmarket;Germany;VTT;Low;1945;250;15;29175;87525;2829975;19450;884975;01/10/2013;10;October;2013
Government;Canada;Carretera;Low;831;3;20;16620;4986;161214;8310;78114;01/05/2014;5;May;2014
Government;Mexico;Paseo;Low;1760;10;7;12320;3696;119504;8800;3,1504E+16;01/09/2013;9;September;2013
Government;Canada;Velo;Low;38505;120;20;77010;2,3103E+16;7,46997E+16;38505;3,61947E+16;01/04/2014;4;April;2014
Channel Partners;Germany;VTT;Low;2479;250;12;29748;89244;2885556;7437;2,14186E+16;01/01/2014;1;January;2014
Midmarket;Mexico;Montana;Low;2031;5;15;30465;1,2186E+16;2,92464E+16;20310;8,9364E+16;01/10/2014;10;October;2014
Midmarket;Mexico;Paseo;Low;2031;10;15;30465;1,2186E+16;2,92464E+16;20310;8,9364E+16;01/10/2014;10;October;2014
Midmarket;France;Paseo;Low;2261;10;15;33915;13566;3,25584E+16;22610;9,9484E+16;01/12/2013;12;December;2013
Government;United States of America;Velo;Low;736;120;20;14720;5,888E+16;141312;7360;6,7712E+16;01/09/2013;9;September;2013
Government;Canada;Carretera;Low;2851;3;7;19957;79828;1915872;14255;4,90372E+16;01/10/2013;10;October;2013
Small Business;Germany;Carretera;Low;2021;3;300;606300;24252;582048;505250;76798;01/10/2014;10;October;2014
Government;United States of America;Carretera;Low;274;3;350;95900;3836;92064;71240;20824;01/12/2014;12;December;2014
Midmarket;Canada;Montana;Low;1967;5;15;29505;11802;2,83248E+16;19670;8,6548E+16;01/03/2014;3;March;2014
Small Business;Germany;Montana;Low;1859;5;300;557700;22308;535392;464750;70642;01/08/2014;8;August;2014
Government;Canada;Montana;Low;2851;5;7;19957;79828;1915872;14255;4,90372E+16;01/10/2013;10;October;2013
Small Business;Germany;Montana;Low;2021;5;300;606300;24252;582048;505250;76798;01/10/2014;10;October;2014
Enterprise;Mexico;Montana;Low;1138;5;125;142250;5690;136560;136560;0;01/12/2014;12;December;2014
Government;Canada;Paseo;Low;4251;10;7;29757;119028;2,85667E+16;21255;7,31172E+16;01/01/2014;1;January;2014
Enterprise;Germany;Paseo;Low;795;10;125;99375;3975;95400;95400;0;01/03/2014;3;March;2014
Small Business;Germany;Paseo;Low;14145;10;300;424350;16974;407376;353625;53751;01/04/2014;4;April;2014
Small Business;United States of America;Paseo;Low;2918;10;300;875400;35016;840384;729500;110884;01/05/2014;5;May;2014
Government;United States of America;Paseo;Low;3450;10;350;1207500;48300;1159200;897000;262200;01/07/2014;7;July;2014
Enterprise;France;Paseo;Low;2988;10;125;373500;14940;358560;358560;0;01/07/2014;7;July;2014
Midmarket;Canada;Paseo;Low;218;10;15;3270;1,308E+16;31392;2180;9,592E+16;01/09/2014;9;September;2014
Government;Canada;Paseo;Low;2074;10;20;41480;16592;3,98208E+16;20740;1,90808E+16;01/09/2014;9;September;2014
Government;United States of America;Paseo;Low;1056;10;20;21120;8448;202752;10560;9,7152E+16;01/09/2014;9;September;2014
Midmarket;United States of America;Paseo;Low;671;10;15;10065;4026;96624;6710;2,9524E+16;01/10/2013;10;October;2013
Midmarket;Mexico;Paseo;Low;1514;10;15;22710;9084;2,18016E+16;15140;6,6616E+16;01/10/2013;10;October;2013
Government;United States of America;Paseo;Low;274;10;350;95900;3836;92064;71240;20824;01/12/2014;12;December;2014
Enterprise;Mexico;Paseo;Low;1138;10;125;142250;5690;136560;136560;0;01/12/2014;12;December;2014
Channel Partners;United States of America;Velo;Low;1465;120;12;17580;7032;168768;4395;124818;01/03/2014;3;March;2014
Government;Canada;Velo;Low;2646;120;20;52920;2,1168E+16;5,08032E+16;26460;2,43432E+16;01/09/2013;9;September;2013
Government;France;Velo;Low;2177;120;350;761950;30478;731472;566020;165452;01/10/2014;10;October;2014
Channel Partners;France;VTT;Low;866;250;12;10392;41568;997632;2598;737832;01/05/2014;5;May;2014
Government;United States of America;VTT;Low;349;250;350;122150;4886;117264;90740;26524;01/09/2013;9;September;2013
Government;France;VTT;Low;2177;250;350;761950;30478;731472;566020;165452;01/10/2014;10;October;2014
Midmarket;Mexico;VTT;Low;1514;250;15;22710;9084;2,18016E+16;15140;6,6616E+16;01/10/2013;10;October;2013
Government;Mexico;Amarilla;Low;1865;260;350;652750;26110;626640;484900;141740;01/02/2014;2;February;2014
Enterprise;Mexico;Amarilla;Low;1074;260;125;134250;5370;128880;128880;0;01/04/2014;4;April;2014
Government;Germany;Amarilla;Low;1907;260;350;667450;26698;640752;495820;144932;01/09/2014;9;September;2014
Midmarket;United States of America;Amarilla;Low;671;260;15;10065;4026;96624;6710;2,9524E+16;01/10/2013;10;October;2013
Government;Canada;Amarilla;Low;1778;260;350;622300;24892;597408;462280;135128;01/12/2013;12;December;2013
Government;Germany;Montana;Medium;1159;5;7;8113;40565;770735;5795;1,91235E+16;01/10/2013;10;October;2013
Government;Germany;Paseo;Medium;1372;10;7;9604;4802;9,1238E+16;6860;2,2638E+16;01/01/2014;1;January;2014
Government;Canada;Paseo;Medium;2349;10;7;16443;82215;1562085;11745;3,87585E+16;01/09/2013;9;September;2013
Government;Mexico;Paseo;Medium;2689;10;7;18823;94115;1,78818E+16;13445;4,43685E+16;01/10/2014;10;October;2014
Channel Partners;Canada;Paseo;Medium;2431;10;12;29172;14586;277134;7293;2,04204E+16;01/12/2014;12;December;2014
Channel Partners;Canada;Velo;Medium;2431;120;12;29172;14586;277134;7293;2,04204E+16;01/12/2014;12;December;2014
Government;Mexico;VTT;Medium;2689;250;7;18823;94115;1,78818E+16;13445;4,43685E+16;01/10/2014;10;October;2014
Government;Mexico;Amarilla;Medium;1683;260;7;11781;5,8905E+16;1119195;8415;2,77695E+16;01/07/2014;7;July;2014
Channel Partners;Mexico;Amarilla;Medium;1123;260;12;13476;6738;128022;3369;9,4332E+16;01/08/2014;8;August;2014
Government;Germany;Amarilla;Medium;1159;260;7;8113;40565;770735;5795;1,91235E+16;01/10/2013;10;October;2013
Channel Partners;France;Carretera;Medium;1865;3;12;22380;1119;21261;5595;15666;01/02/2014;2;February;2014
Channel Partners;Germany;Carretera;Medium;1116;3;12;13392;6696;127224;3348;93744;01/02/2014;2;February;2014
Government;France;Carretera;Medium;1563;3;20;31260;1563;29697;15630;14067;01/05/2014;5;May;2014
Small Business;United States of America;Carretera;Medium;991;3;300;297300;14865;282435;247750;34685;01/06/2014;6;June;2014
Government;Germany;Carretera;Medium;1016;3;7;7112;3556;67564;5080;1,6764E+16;01/11/2013;11;November;2013
Midmarket;Mexico;Carretera;Medium;2791;3;15;41865;209325;3977175;27910;1186175;01/11/2014;11;November;2014
Government;United States of America;Carretera;Medium;570;3;7;3990;1995;37905;2850;9405;01/12/2014;12;December;2014
Government;France;Carretera;Medium;2487;3;7;17409;87045;1653855;12435;4,10355E+16;01/12/2014;12;December;2014
Government;France;Montana;Medium;13845;5;350;484575;2422875;46034625;359970;10037625;01/01/2014;1;January;2014
Enterprise;United States of America;Montana;Medium;3627;5;125;453375;2266875;43070625;435240;-453375;01/07/2014;7;July;2014
Government;Mexico;Montana;Medium;720;5;350;252000;12600;239400;187200;52200;01/09/2013;9;September;2013
Channel Partners;Germany;Montana;Medium;2342;5;12;28104;14052;2,66988E+16;7026;196728;01/11/2014;11;November;2014
Small Business;Mexico;Montana;Medium;1100;5;300;330000;16500;313500;275000;38500;01/12/2013;12;December;2013
Government;France;Paseo;Medium;1303;10;20;26060;1303;24757;13030;11727;01/02/2014;2;February;2014
Enterprise;United States of America;Paseo;Medium;2992;10;125;374000;18700;355300;359040;-3740;01/03/2014;3;March;2014
Enterprise;France;Paseo;Medium;2385;10;125;298125;1490625;28321875;286200;-298125;01/03/2014;3;March;2014
Small Business;Mexico;Paseo;Medium;1607;10;300;482100;24105;457995;401750;56245;01/04/2014;4;April;2014
Government;United States of America;Paseo;Medium;2327;10;7;16289;81445;1547455;11635;3,83955E+16;01/05/2014;5;May;2014
Small Business;United States of America;Paseo;Medium;991;10;300;297300;14865;282435;247750;34685;01/06/2014;6;June;2014
Government;United States of America;Paseo;Medium;602;10;350;210700;10535;200165;156520;43645;01/06/2014;6;June;2014
Midmarket;France;Paseo;Medium;2620;10;15;39300;1965;37335;26200;11135;01/09/2014;9;September;2014
Government;Canada;Paseo;Medium;1228;10;350;429800;21490;408310;319280;89030;01/10/2013;10;October;2013
Government;Canada;Paseo;Medium;1389;10;20;27780;1389;26391;13890;12501;01/10/2013;10;October;2013
Enterprise;United States of America;Paseo;Medium;861;10;125;107625;538125;10224375;103320;-107625;01/10/2014;10;October;2014
Enterprise;France;Paseo;Medium;704;10;125;88000;4400;83600;84480;-880;01/10/2013;10;October;2013
Government;Canada;Paseo;Medium;1802;10;20;36040;1802;34238;18020;16218;01/12/2013;12;December;2013
Government;United States of America;Paseo;Medium;2663;10;20;53260;2663;50597;26630;23967;01/12/2014;12;December;2014
Government;France;Paseo;Medium;2136;10;7;14952;7476;142044;10680;3,5244E+16;01/12/2013;12;December;2013
Midmarket;Germany;Paseo;Medium;2116;10;15;31740;1587;30153;21160;8993;01/12/2013;12;December;2013
Midmarket;United States of America;Velo;Medium;555;120;15;8325;41625;790875;5550;235875;01/01/2014;1;January;2014
